date,home_team,away_team,result,b365_1,b365_x,b365_2
2024-01-14,Milan,Roma,1,2.2,3.2,3.5
2024-01-15,Atalanta,Frosinone,1,1.44,4.5,7.5
2024-01-16,Juventus,Sassuolo,1,1.4,4.2,8.5
2024-01-20,Udinese,Milan,2,4.0,3.8,1.85
2024-01-20,Roma,Verona,1,1.44,4.2,8.5
2024-01-21,Frosinone,Cagliari,1,2.4,3.4,2.9
2024-01-21,Empoli,Monza,1,2.8,3.3,2.55
2024-01-21,Salernitana,Genoa,2,3.6,3.2,2.15
2024-01-21,Lecce,Juventus,2,6.0,3.5,1.65
2024-01-26,Cagliari,Torino,2,3.5,3.2,2.2
2024-01-27,Atalanta,Udinese,1,1.5,4.5,6.0
2024-01-27,Juventus,Empoli,X,1.29,5.5,10.0
2024-01-27,Milan,Bologna,X,1.67,3.75,5.25
2024-01-28,Fiorentina,Inter,2,4.2,3.6,1.85
2024-01-28,Lazio,Napoli,X,2.25,3.3,3.3
2024-01-28,Verona,Frosinone,X,2.45,3.3,2.9
2024-01-28,Genoa,Lecce,1,2.1,3.1,4.0
2024-01-28,Monza,Sassuolo,1,2.25,3.4,3.2
2024-01-29,Salernitana,Roma,2,5.25,3.8,1.67
2024-02-02,Lecce,Fiorentina,1,3.75,3.2,2.1
2024-02-03,Empoli,Genoa,X,3.0,3.0,2.6
2024-02-03,Udinese,Monza,X,2.25,3.3,3.3
2024-02-03,Frosinone,Milan,2,5.0,4.2,1.62
2024-02-03,Bologna,Sassuolo,1,1.7,3.75,5.0
2024-02-04,Torino,Salernitana,X,1.5,4.0,7.5
2024-02-04,Napoli,Verona,1,1.4,4.5,8.5
2024-02-04,Atalanta,Lazio,1,2.05,3.4,3.75
2024-02-04,Inter,Juventus,1,1.8,3.5,4.75
2024-02-05,Roma,Cagliari,1,1.44,4.33,7.5
2024-02-09,Salernitana,Empoli,2,2.38,3.2,3.2
2024-02-10,Roma,Inter,2,4.2,3.5,1.91
2024-02-10,Sassuolo,Torino,X,3.4,3.3,2.2
2024-02-10,Cagliari,Lazio,2,3.5,3.3,2.15
2024-02-11,Genoa,Atalanta,2,3.75,3.3,2.05
2024-02-11,Monza,Verona,X,2.05,3.4,3.75
2024-02-11,Milan,Napoli,1,1.95,3.6,3.8
2024-02-11,Fiorentina,Frosinone,1,1.5,4.33,6.5
2024-02-11,Bologna,Lecce,1,1.73,3.6,5.25
2024-02-12,Juventus,Udinese,2,1.44,4.5,8.0
2024-02-14,Bologna,Fiorentina,1,2.3,3.2,3.2
2024-02-16,Torino,Lecce,1,1.8,3.4,4.75
2024-02-16,Inter,Salernitana,1,1.14,8.5,15.0
2024-02-17,Napoli,Genoa,X,1.6,3.75,6.0
2024-02-17,Verona,Juventus,X,5.75,3.5,1.67
2024-02-17,Atalanta,Sassuolo,1,1.36,5.5,8.0
2024-02-18,Monza,Milan,1,4.75,3.5,1.8
2024-02-18,Frosinone,Roma,2,3.8,3.75,1.91
2024-02-18,Udinese,Cagliari,X,1.91,3.6,4.0
2024-02-18,Lazio,Bologna,2,2.3,3.1,3.4
2024-02-18,Empoli,Fiorentina,X,3.75,3.3,2.05
2024-02-22,Torino,Lazio,2,2.4,2.9,3.25
2024-02-23,Bologna,Verona,1,1.55,3.8,7.0
2024-02-24,Genoa,Udinese,1,2.25,3.0,3.6
2024-02-24,Sassuolo,Empoli,2,2.2,3.4,3.3
2024-02-24,Salernitana,Monza,2,3.0,3.1,2.5
2024-02-25,Lecce,Inter,2,7.0,4.5,1.44
2024-02-25,Cagliari,Napoli,X,4.2,3.75,1.83
2024-02-25,Milan,Atalanta,X,2.38,3.4,3.0
2024-02-25,Juventus,Frosinone,1,1.3,5.5,10.0
2024-02-26,Roma,Torino,1,1.91,3.25,4.5
2024-02-26,Fiorentina,Lazio,1,2.25,3.1,3.5
2024-02-28,Sassuolo,Napoli,2,4.0,3.8,1.8
2024-02-28,Inter,Atalanta,1,1.62,4.0,5.5
2024-03-01,Lazio,Milan,2,3.5,3.2,2.2
2024-03-02,Udinese,Salernitana,X,1.65,3.8,5.75
2024-03-02,Monza,Roma,2,3.75,3.4,2.05
2024-03-02,Torino,Fiorentina,X,2.63,3.0,2.9
2024-03-03,Frosinone,Lecce,X,2.25,3.3,3.3
2024-03-03,Napoli,Juventus,1,2.38,3.1,3.3
2024-03-03,Atalanta,Bologna,2,1.91,3.4,4.2
2024-03-03,Verona,Sassuolo,1,2.2,3.4,3.25
2024-03-03,Empoli,Cagliari,2,2.15,3.25,3.6
2024-03-04,Inter,Genoa,1,1.3,5.75,9.5
2024-03-08,Napoli,Torino,X,1.75,3.6,5.0
2024-03-09,Bologna,Inter,2,3.5,3.3,2.15
2024-03-09,Cagliari,Salernitana,1,1.83,3.6,4.33
2024-03-09,Sassuolo,Frosinone,1,2.2,3.6,3.1
2024-03-09,Genoa,Monza,2,2.15,3.2,3.5
2024-03-10,Milan,Empoli,1,1.44,5.0,6.5
2024-03-10,Juventus,Atalanta,X,2.2,3.3,3.3
2024-03-10,Lecce,Verona,2,2.2,3.25,3.4
2024-03-10,Fiorentina,Roma,X,2.55,3.3,2.75
2024-03-11,Lazio,Udinese,2,1.91,3.5,4.0
2024-03-15,Empoli,Bologna,2,4.0,3.2,2.0
2024-03-16,Monza,Cagliari,1,2.05,3.5,3.6
2024-03-16,Udinese,Torino,2,2.8,2.9,2.8
2024-03-16,Salernitana,Lecce,2,2.9,3.2,2.5
2024-03-16,Frosinone,Lazio,2,3.5,3.4,2.15
2024-03-17,Juventus,Genoa,X,1.5,4.0,7.0
2024-03-17,Verona,Milan,2,5.25,3.75,1.7
2024-03-17,Roma,Sassuolo,1,1.36,4.75,8.0
2024-03-17,Inter,Napoli,X,1.57,4.0,6.0
2024-03-30,Genoa,Frosinone,X,1.95,3.6,3.8
2024-03-30,Fiorentina,Milan,2,2.88,3.3,2.5
2024-03-30,Lazio,Juventus,1,3.1,3.1,2.45
2024-03-30,Napoli,Atalanta,2,2.1,3.6,3.4
2024-03-30,Torino,Monza,1,1.83,3.4,4.75
2024-04-01,Lecce,Roma,X,4.5,3.5,1.83
2024-04-01,Bologna,Salernitana,1,1.3,5.5,10.0
2024-04-01,Cagliari,Verona,X,2.15,3.2,3.6
2024-04-01,Sassuolo,Udinese,X,2.75,3.25,2.6
2024-04-01,Inter,Empoli,1,1.22,7.0,12.0
2024-04-05,Salernitana,Sassuolo,X,3.25,3.5,2.2
2024-04-06,Roma,Lazio,1,2.2,3.1,3.6
2024-04-06,Empoli,Torino,1,3.5,3.2,2.25
2024-04-06,Milan,Lecce,1,1.36,4.75,8.5
2024-04-07,Frosinone,Bologna,X,4.2,3.5,1.91
2024-04-07,Monza,Napoli,2,4.0,3.8,1.85
2024-04-07,Cagliari,Atalanta,1,4.75,3.8,1.73
2024-04-07,Verona,Genoa,2,2.75,3.0,2.8
2024-04-07,Juventus,Fiorentina,1,1.83,3.4,4.75
2024-04-08,Udinese,Inter,2,6.5,4.5,1.5
2024-04-12,Lazio,Salernitana,1,1.33,5.0,9.5
2024-04-13,Torino,Juventus,X,3.75,3.0,2.2
2024-04-13,Lecce,Empoli,1,2.25,3.1,3.6
2024-04-13,Bologna,Monza,X,1.55,4.0,6.5
2024-04-14,Napoli,Frosinone,X,1.33,5.5,8.0
2024-04-14,Sassuolo,Milan,X,4.5,3.8,1.75
2024-04-14,Inter,Cagliari,X,1.18,8.0,12.0
2024-04-15,Fiorentina,Genoa,X,1.85,3.5,4.33
2024-04-15,Atalanta,Verona,X,1.45,4.5,7.0
2024-04-19,Genoa,Lazio,2,3.1,3.1,2.45
2024-04-19,Cagliari,Juventus,X,5.0,3.5,1.75
2024-04-20,Verona,Udinese,1,2.55,3.1,3.0
2024-04-20,Empoli,Napoli,1,4.75,4.0,1.7
2024-04-21,Monza,Atalanta,2,4.0,3.8,1.85
2024-04-21,Torino,Frosinone,X,1.67,3.8,5.25
2024-04-21,Salernitana,Fiorentina,2,5.0,4.0,1.67
2024-04-21,Sassuolo,Lecce,2,2.3,3.3,3.2
2024-04-22,Roma,Bologna,2,2.4,3.1,3.2
2024-04-22,Milan,Inter,2,3.75,3.6,2.0
2024-04-25,Udinese,Roma,2,3.3,3.4,2.15
2024-04-26,Frosinone,Salernitana,1,1.4,4.75,7.5
2024-04-27,Lazio,Verona,1,1.62,3.8,6.0
2024-04-27,Lecce,Monza,X,2.0,3.25,4.0
2024-04-27,Juventus,Milan,X,2.1,3.3,3.6
2024-04-28,Fiorentina,Sassuolo,1,1.7,3.8,5.0
2024-04-28,Napoli,Roma,X,1.95,3.6,4.0
2024-04-28,Atalanta,Empoli,1,1.44,4.5,7.5
2024-04-28,Inter,Torino,1,1.53,3.8,7.0
2024-04-28,Bologna,Udinese,X,1.6,3.8,6.0
2024-04-29,Genoa,Cagliari,1,2.25,3.1,3.5
2024-05-03,Torino,Bologna,X,2.88,2.8,2.88
2024-05-04,Sassuolo,Inter,1,6.0,4.5,1.5
2024-05-04,Monza,Lazio,X,4.33,3.75,1.83
2024-05-05,Roma,Juventus,X,2.88,3.1,2.7
2024-05-05,Milan,Genoa,X,1.45,4.5,6.5
2024-05-05,Verona,Fiorentina,1,3.1,3.3,2.3
2024-05-05,Cagliari,Lecce,X,2.15,3.2,3.75
2024-05-05,Empoli,Frosinone,X,2.38,3.3,3.1
2024-05-06,Salernitana,Atalanta,2,7.5,5.5,1.36
2024-05-06,Udinese,Napoli,X,3.75,3.6,1.95
2024-05-10,Frosinone,Inter,2,4.5,4.0,1.73
2024-05-11,Napoli,Bologna,2,2.1,3.4,3.5
2024-05-11,Milan,Cagliari,1,1.4,5.25,6.5
2024-05-12,Verona,Torino,2,3.0,3.0,2.55
2024-05-12,Atalanta,Roma,1,2.0,3.6,3.6
2024-05-12,Juventus,Salernitana,X,1.14,8.5,17.0
2024-05-12,Lazio,Empoli,1,1.57,4.0,5.75
2024-05-12,Genoa,Sassuolo,1,2.2,3.5,3.2
2024-05-13,Lecce,Udinese,2,2.63,3.1,2.8
2024-05-13,Fiorentina,Monza,1,1.55,4.2,5.75
2024-05-17,Fiorentina,Napoli,X,2.25,3.4,3.1
2024-05-18,Lecce,Atalanta,2,4.5,3.8,1.75
2024-05-18,Torino,Milan,1,2.8,3.2,2.6
2024-05-19,Monza,Frosinone,2,3.0,3.4,2.3
2024-05-19,Udinese,Empoli,X,2.0,3.4,3.8
2024-05-19,Roma,Genoa,1,1.48,4.2,7.0
2024-05-19,Sassuolo,Cagliari,2,2.35,3.3,3.1
2024-05-19,Inter,Lazio,X,1.62,4.0,5.0
2024-05-20,Salernitana,Verona,2,5.0,3.8,1.7
2024-05-20,Bologna,Juventus,X,2.45,3.1,3.1
2024-05-23,Cagliari,Fiorentina,2,4.2,3.75,1.8
2024-05-24,Genoa,Bologna,1,3.4,3.4,2.15
2024-05-25,Milan,Salernitana,X,1.18,8.0,12.0
2024-05-25,Juventus,Monza,1,1.33,5.5,8.5
2024-05-26,Lazio,Sassuolo,X,1.36,5.25,7.5
2024-05-26,Napoli,Lecce,X,1.42,5.0,6.25
2024-05-26,Empoli,Roma,1,1.95,3.6,3.6
2024-05-26,Frosinone,Udinese,2,2.38,3.25,3.0
2024-05-26,Verona,Inter,X,5.5,4.0,1.53
2024-05-26,Atalanta,Torino,1,3.3,3.5,2.1
2024-06-02,Atalanta,Fiorentina,2,1.48,4.75,6.0
